Year,data.Geography,Sexe,data.Age,Value
2015,data.Canada,Les deux sexes,data.15 years and over,6.9
2016,data.Canada,Les deux sexes,data.15 years and over,7.1
2017,data.Canada,Les deux sexes,data.15 years and over,6.4
2018,data.Canada,Les deux sexes,data.15 years and over,5.9
2019,data.Canada,Les deux sexes,data.15 years and over,5.7
2020,data.Canada,Les deux sexes,data.15 years and over,9.5
2015,data.Canada,Les deux sexes,data.15 to 24 years,12.9
2016,data.Canada,Les deux sexes,data.15 to 24 years,12.8
2017,data.Canada,Les deux sexes,data.15 to 24 years,11.4
2018,data.Canada,Les deux sexes,data.15 to 24 years,10.9
2019,data.Canada,Les deux sexes,data.15 to 24 years,11.0
2020,data.Canada,Les deux sexes,data.15 to 24 years,20.1
2015,data.Canada,Les deux sexes,data.25 years and over,5.9
2016,data.Canada,Les deux sexes,data.25 years and over,6.1
2017,data.Canada,Les deux sexes,data.25 years and over,5.5
2018,data.Canada,Les deux sexes,data.25 years and over,5.1
2019,data.Canada,Les deux sexes,data.25 years and over,4.8
2020,data.Canada,Les deux sexes,data.25 years and over,7.8
2015,data.Canada,Les deux sexes,data.25 to 44 years,6.1
2016,data.Canada,Les deux sexes,data.25 to 44 years,6.3
2017,data.Canada,Les deux sexes,data.25 to 44 years,5.6
2018,data.Canada,Les deux sexes,data.25 to 44 years,5.1
2019,data.Canada,Les deux sexes,data.25 to 44 years,5.1
2020,data.Canada,Les deux sexes,data.25 to 44 years,8.4
2015,data.Canada,Les deux sexes,data.45 to 64 years,5.8
2016,data.Canada,Les deux sexes,data.45 to 64 years,6.0
2017,data.Canada,Les deux sexes,data.45 to 64 years,5.5
2018,data.Canada,Les deux sexes,data.45 to 64 years,5.1
2019,data.Canada,Les deux sexes,data.45 to 64 years,4.6
2020,data.Canada,Les deux sexes,data.45 to 64 years,7.2
2015,data.Canada,Les deux sexes,data.45 years and over,5.7
2016,data.Canada,Les deux sexes,data.45 years and over,5.9
2017,data.Canada,Les deux sexes,data.45 years and over,5.4
2018,data.Canada,Les deux sexes,data.45 years and over,5.0
2019,data.Canada,Les deux sexes,data.45 years and over,4.6
2020,data.Canada,Les deux sexes,data.45 years and over,7.3
2015,data.Canada,Les deux sexes,data.25 to 54 years,5.9
2016,data.Canada,Les deux sexes,data.25 to 54 years,6.0
2017,data.Canada,Les deux sexes,data.25 to 54 years,5.5
